,Code,Title,Session,Details
0,CSC104H1-F,Computational Thinking,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 11:00 — 12:00
Friday 11:00 — 12:00
LM 159
LM 159
Baumgartner, G.
33 of 196 available Yes: 0 student
Enrolment Controls: Priority (P)"
1,CSC104H1-F,Computational Thinking,LEC0201,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0201
Monday 12:00 — 13:00
Friday 12:00 — 13:00
SF 1105
SF 1105
Baumgartner, G.
29 of 196 available Yes: 0 student
Enrolment Controls: Priority (P)"
2,CSC104H1-F,Computational Thinking,LEC0301,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0301
Monday 15:00 — 16:00
Friday 15:00 — 16:00
MB 128
MB 128
Baumgartner, G.
37 of 196 available Yes: 0 student
Enrolment Controls: Priority (P)"
3,CSC104H1-F,Computational Thinking,TUT0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT0101
Wednesday 11:00 — 12:00
—
—
20 of 130 available No"
4,CSC104H1-F,Computational Thinking,TUT0201,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT0201
Wednesday 12:00 — 13:00
—
—
36 of 130 available No"
5,CSC104H1-F,Computational Thinking,TUT0301,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT0301
Wednesday 13:00 — 14:00
—
—
24 of 105 available No"
6,CSC104H1-F,Computational Thinking,TUT0401,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT0401
Wednesday 14:00 — 15:00
—
—
26 of 105 available No"
7,CSC104H1-F,Computational Thinking,TUT0501,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT0501
Wednesday 15:00 — 16:00
—
—
15 of 130 available No"
8,CSC104H1-S,Computational Thinking,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 13:00 — 14:00
Friday 13:00 — 14:00
SS 2102
SS 2102
Baumgartner, G.
1 of 196 available Yes: 0 student Time Change: July 19, 2019
Enrolment Controls: Priority (P)"
9,CSC104H1-S,Computational Thinking,LEC0201,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0201
Monday 14:00 — 15:00
Friday 14:00 — 15:00
SS 2102
SS 2102
Baumgartner, G.
85 of 196 available Yes: 0 student Time Change: July 19, 2019
Enrolment Controls: Priority (P)"
10,CSC104H1-S,Computational Thinking,TUT0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT0101
Wednesday 11:00 — 12:00
—
—
23 of 102 available No"
11,CSC104H1-S,Computational Thinking,TUT0201,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT0201
Wednesday 12:00 — 13:00
—
—
49 of 102 available No"
12,CSC104H1-S,Computational Thinking,TUT0301,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT0301
Wednesday 13:00 — 14:00
—
—
31 of 102 available No"
13,CSC104H1-S,Computational Thinking,TUT0401,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT0401
Wednesday 14:00 — 15:00
—
—
29 of 102 available No"
14,CSC108H1-F,Introduction to Computer Programming,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 10:00 — 11:00
Wednesday 10:00 — 12:00
MY 150
MY 150
Campbell, J.
12 of 234 available Yes: 0 student
Enrolment Controls: Priority (P)"
15,CSC108H1-F,Introduction to Computer Programming,LEC0102,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0102
Monday 10:00 — 11:00
Wednesday 10:00 — 12:00
MY 150
MY 150
Campbell, J.
16 of 234 available Yes: 0 student
Enrolment Controls: Priority (P)"
16,CSC108H1-F,Introduction to Computer Programming,LEC0201,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0201
Tuesday 12:00 — 13:00
Thursday 12:00 — 14:00
LM 159
SF 1105
Badr, M.
14 of 196 available Yes: 0 student Room Change: July 11, 2019
Enrolment Controls: Priority (P)"
17,CSC108H1-F,Introduction to Computer Programming,LEC0301,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0301
Tuesday 14:00 — 15:00
Thursday 14:00 — 16:00
OI G162
OI G162
Calver, J.
19 of 196 available Yes: 0 student
Enrolment Controls: Priority (P)"
18,CSC108H1-F,Introduction to Computer Programming,LEC0401,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0401
Monday 13:00 — 14:00
Wednesday 12:00 — 14:00
MS 2158
MS 3153
Badr, M.
15 of 196 available Yes: 0 student Room Change: September 12, 2019
Enrolment Controls: Priority (P)"
