,Code,Title,Session,Details
0,ECO101H1-F,Principles of Microeconomics,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Tuesday 11:00 — 12:00
Thursday 11:00 — 12:00
Friday 11:00 — 12:00
MY 150
MY 150
OI G162
Ho, M.
54 of 468 available Yes: 0 student LEC0101 Must Enrol in TUT0101-TUT0701 Only
Enrolment Controls: Priority (P)"
1,ECO101H1-F,Principles of Microeconomics,LEC0201,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0201
Monday 11:00 — 12:00
Wednesday 11:00 — 12:00
Friday 11:00 — 12:00
BT 101
BT 101
BT 101
Pesando, J.
25 of 500 available Yes: 0 student LEC0201: Must Enrol in TUT0801-TUT1501 Only
Enrolment Controls: Priority (P)"
2,ECO101H1-F,Principles of Microeconomics,LEC0301,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0301
Monday 12:00 — 13:00
Wednesday 12:00 — 13:00
Friday 12:00 — 13:00
BT 101
BT 101
BT 101
Freitas, K.
189 of 500 available Yes: 0 student LEC0301: Must Enrol in TUT1601-TUT2301 Only
Enrolment Controls: Priority (P)"
3,ECO101H1-F,Principles of Microeconomics,LEC0401,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0401
Monday 13:00 — 14:00
Wednesday 13:00 — 14:00
Friday 13:00 — 14:00
BT 101
BT 101
BT 101
Freitas, K.
111 of 500 available Yes: 0 student LEC0401: Must Enrol in TUT2401-TUT3001 Only
Enrolment Controls: Priority (P)"
4,ECO101H1-F,Principles of Microeconomics,LEC0501,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0501
Wednesday 18:00 — 21:00
OI G162
Ho, M.
81 of 472 available Yes: 0 student LEC0501: Must Enrol in TUT3101-TUT3701 Only
Enrolment Controls: Priority (P)"
5,ECO101H1-F,Principles of Microeconomics,LEC2501,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC2501
Monday 18:00 — 21:00
MY 150
Ho, M.
8 of 65 available Yes: 0 student LEC2501: Must Enrol in TUT3801-TUT5201 Only
Enrolment Controls: Restricted (R1)"
6,ECO101H1-F,Principles of Microeconomics,LEC5101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC5101
Monday 18:00 — 21:00
MY 150
Ho, M.
54 of 403 available Yes: 0 student LEC5101: Must Enrol in TUT3801-TUT5201 Only
Enrolment Controls: Priority (P)"
7,ECO101H1-F,Principles of Microeconomics,TUT0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT0101
Tuesday 14:00 — 15:00
UC 52
—
16 of 61 available No Time Change: July 8, 2019"
8,ECO101H1-F,Principles of Microeconomics,TUT0201,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT0201
Tuesday 14:00 — 15:00
RW 140
—
20 of 61 available No"
9,ECO101H1-F,Principles of Microeconomics,TUT0202,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT0202
Tuesday 15:00 — 16:00
MY 330
—
6 of 61 available No Time Change: July 8, 2019"
10,ECO101H1-F,Principles of Microeconomics,TUT0301,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT0301
Tuesday 15:00 — 16:00
SS 2105
—
6 of 62 available No"
11,ECO101H1-F,Principles of Microeconomics,TUT0401,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT0401
Wednesday 12:00 — 13:00
SS 1069
—
10 of 61 available No"
12,ECO101H1-F,Principles of Microeconomics,TUT0501,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT0501
Thursday 10:00 — 11:00
SS 1074
—
4 of 61 available No"
13,ECO101H1-F,Principles of Microeconomics,TUT0601,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT0601
Thursday 12:00 — 13:00
SS 2108
—
14 of 62 available No Time Change: July 8, 2019"
14,ECO101H1-F,Principles of Microeconomics,TUT0701,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT0701
Thursday 12:00 — 13:00
SS 1070
—
4 of 61 available No"
15,ECO101H1-F,Principles of Microeconomics,TUT0801,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT0801
Tuesday 10:00 — 11:00
UC 244
—
4 of 50 available No"
16,ECO101H1-F,Principles of Microeconomics,TUT0901,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT0901
Tuesday 11:00 — 12:00
LA 211
—
6 of 50 available No Room Change: July 23, 2019"
17,ECO101H1-F,Principles of Microeconomics,TUT1001,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT1001
Tuesday 14:00 — 15:00
NF 006
—
0 of 50 available No Room Change: July 23, 2019"
18,ECO101H1-F,Principles of Microeconomics,TUT1002,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT1002
Tuesday 14:00 — 15:00
SF 1101
—
5 of 50 available No"
19,ECO101H1-F,Principles of Microeconomics,TUT1101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT1101
Tuesday 15:00 — 16:00
UC 52
—
1 of 50 available No"
20,ECO101H1-F,Principles of Microeconomics,TUT1102,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT1102
Tuesday 15:00 — 16:00
UC 244
—
1 of 50 available No"
21,ECO101H1-F,Principles of Microeconomics,TUT1201,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT1201
Tuesday 16:00 — 17:00
AB 107
—
0 of 50 available No Room Change: September 6, 2019"
22,ECO101H1-F,Principles of Microeconomics,TUT1301,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT1301
Wednesday 13:00 — 14:00
UC 144
—
4 of 50 available No"
23,ECO101H1-F,Principles of Microeconomics,TUT1401,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT1401
Thursday 11:00 — 12:00
WW 126
—
3 of 50 available No"
24,ECO101H1-F,Principles of Microeconomics,TUT1501,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT1501
Thursday 12:00 — 13:00
WO 30
—
2 of 50 available No Room Change: July 23, 2019"
25,ECO101H1-F,Principles of Microeconomics,TUT1601,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT1601
Tuesday 10:00 — 11:00
BL 325
—
11 of 50 available No"
26,ECO101H1-F,Principles of Microeconomics,TUT1701,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT1701
Tuesday 11:00 — 12:00
SS 1086
—
14 of 50 available No Room Change: August 26, 2019"
27,ECO101H1-F,Principles of Microeconomics,TUT1801,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT1801
Tuesday 14:00 — 15:00
AP 120
—
26 of 50 available No"
28,ECO101H1-F,Principles of Microeconomics,TUT1802,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT1802
Tuesday 14:00 — 15:00
VC 323
—
34 of 50 available No"
29,ECO101H1-F,Principles of Microeconomics,TUT1901,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT1901
Tuesday 15:00 — 16:00
SS 1088
—
14 of 50 available No"
30,ECO101H1-F,Principles of Microeconomics,TUT1902,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT1902
Tuesday 15:00 — 16:00
WI 2006
—
38 of 50 available No Room Change: October 11, 2019. Please note that this section meets in LM 155 on October 22."
31,ECO101H1-F,Principles of Microeconomics,TUT2001,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT2001
Tuesday 16:00 — 17:00
SS 1073
—
23 of 50 available No"
32,ECO101H1-F,Principles of Microeconomics,TUT2101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT2101
Wednesday 13:00 — 14:00
VC 212
—
2 of 50 available No Room Change: July 23, 2019"
33,ECO101H1-F,Principles of Microeconomics,TUT2201,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT2201
Thursday 11:00 — 12:00
WI 524
—
18 of 50 available No Room Change: September 30, 2019"
34,ECO101H1-F,Principles of Microeconomics,TUT2301,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT2301
Thursday 12:00 — 13:00
SK 548
—
10 of 50 available No Room Change: July 23, 2019"
35,ECO101H1-F,Principles of Microeconomics,TUT2401,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT2401
Tuesday 11:00 — 12:00
BL 325
—
11 of 62 available No"
36,ECO101H1-F,Principles of Microeconomics,TUT2501,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT2501
Tuesday 14:00 — 15:00
AB 107
—
10 of 62 available No"
37,ECO101H1-F,Principles of Microeconomics,TUT2502,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT2502
Tuesday 14:00 — 15:00
WI 524
—
30 of 62 available No"
38,ECO101H1-F,Principles of Microeconomics,TUT2601,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT2601
Tuesday 15:00 — 16:00
SS 1070
—
9 of 63 available No"
39,ECO101H1-F,Principles of Microeconomics,TUT2701,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT2701
Wednesday 12:00 — 13:00
VC 215
—
6 of 62 available No Room Change: July 23, 2019"
